trip_date,total_trips,gross_revenue,avg_fare,avg_distance
2008-12-31,1,80.55,70.0,17.76
2022-10-25,5,211.96,34.8,2.15
2022-12-31,25,658.23,16.63,3.31
2023-01-01,74216,2296235.9,22.06,4.42
2023-01-02,63758,2002015.73,22.25,4.63
2023-01-03,83452,2453820.73,20.22,3.94
2023-01-04,92781,2613783.57,19.18,3.6
2023-01-05,98650,2700981.13,18.53,3.43
2023-01-06,100124,2678675.22,17.97,3.27
2023-01-07,102428,2630555.72,17.73,3.29
2023-01-08,82850,2368199.47,19.91,4.02
2023-01-09,83180,2341541.08,19.02,3.64
2023-01-10,97666,2599396.85,17.79,3.21
2023-01-11,103691,2735511.07,17.56,3.16
2023-01-12,108769,3021111.19,18.64,3.35
2023-01-13,107899,3044995.34,18.88,3.49
2023-01-14,110077,2884326.2,17.99,3.26
2023-01-15,94431,2571652.24,18.8,3.63
2023-01-16,77996,2264514.1,20.03,4.05
2023-01-17,98549,2776789.24,18.93,3.49
2023-01-18,103785,2830376.03,18.23,3.25
2023-01-19,112176,3033997.29,18.11,3.08
2023-01-20,106973,2893854.5,18.1,3.24
2023-01-21,109487,2739890.1,17.16,3.08
2023-01-22,87559,2423049.94,19.1,3.74
2023-01-23,87463,2399676.51,18.39,3.45
2023-01-24,101504,2694385.61,17.66,3.11
2023-01-25,106681,2775262.2,17.25,2.95
2023-01-26,112202,3063642.08,18.22,3.24
2023-01-27,109061,2938983.34,17.95,3.22
2023-01-28,109074,2738443.08,17.22,3.03
2023-01-29,85930,2385814.46,19.17,3.77
2023-01-30,81457,2277703.54,18.83,3.56
2023-01-31,98101,2639447.24,18.05,3.09
2023-02-01,10,313.81,22.02,4.57
